FlushFlashMemory command sent, waiting for new packets
01:32:52	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 0 50 0 107
01:32:53	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 1 50 0 107
01:32:53	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 2 50 255 108
01:32:53	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 3 50 255 108
01:32:54	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 4 50 0 108
01:32:54	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 5 50 0 108
01:32:54	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 6 50 0 108
01:32:54	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 7 50 255 108
01:32:144	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 8 50 255 108
01:32:144	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 9 50 255 108
01:32:145	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 10 50 255 108
01:32:145	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 11 50 255 108
01:32:146	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 12 50 255 108
01:32:146	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 13 50 255 107
01:32:146	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 14 50 0 108
01:32:146	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 15 50 4 108
01:32:147	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 16 50 4 108
01:32:344	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 17 50 4 107
01:32:352	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 18 50 4 108
01:32:407	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 19 50 4 107
01:32:407	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 20 50 4 107
01:32:408	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 21 50 4 106
01:32:408	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 22 50 4 106
01:32:408	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 33 50 248 108
01:32:409	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 34 50 231 108
01:32:411	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 35 50 227 107
01:32:521	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 47 50 208 73
01:32:521	Tue Apr 10 01:01:32 PDT 2012 15 3 41 0 2 48 50 209 75
01:32:521	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 1 50 208 83
01:32:521	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 6 50 208 82
01:32:522	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 7 50 208 82
01:32:522	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 8 50 209 86
01:32:522	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 10 50 209 87
01:32:522	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 11 50 212 101
01:32:551	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 12 50 208 75
01:32:552	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 16 50 211 103
01:32:552	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 17 50 211 94
01:32:561	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 18 50 211 90
01:32:674	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 19 50 210 93
01:32:674	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 20 50 210 92
01:32:674	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 21 50 209 81
01:32:674	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 22 50 209 82
01:32:675	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 25 50 209 85
01:32:675	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 26 50 209 81
01:32:675	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 28 50 209 85
01:32:676	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 29 50 208 76
01:32:778	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 30 50 210 88
01:32:778	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 32 50 209 88
01:32:778	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 33 50 210 86
01:32:778	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 35 50 210 87
01:32:778	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 36 50 210 88
01:32:779	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 37 50 210 91
01:32:779	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 39 50 210 83
01:32:779	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 48 50 212 97
01:32:837	Tue Apr 10 01:01:32 PDT 2012 16 3 41 0 2 49 50 212 102
01:32:837	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 0 50 211 100
01:32:837	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 9 50 209 89
01:32:837	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 10 50 210 100
01:32:838	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 11 50 210 82
01:32:852	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 12 50 211 99
01:32:868	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 13 50 209 75
01:32:979	Tue Apr 10 01:01:32 PDT 2012 17 3 41 0 2 14 50 209 81
